Malicious,srcIP,destIP,destPt,protocol,startTime,flowct,mean_dest_bytes,stdev_dest_bytes,mean_dest_pkts,stdev_dest_pkts,mean_duration,stdev_duration,mean_intvl,stdev_intvl,mean_src_bytes,stdev_src_bytes,mean_src_pkts,stdev_src_pkts,A,C,D,F,H,I,Q,R,S,T,a,c,d,f,h,i,q,r,s,t
0,10.0.2.15,185.129.44.15,80,tcp,257.648326,9,16338.11111,9989.122178,26.88888889,12.03880071,83.17894678,38.49401148,2.330947,3.97232244,338.4444444,217.7424162,17.88888889,7.383906526,9,0,6,9,0,0,0,0,9,0,9,0,6,9,9,0,0,0,0,0
0,10.0.2.15,185.33.220.210,80,tcp,11455.55191,3,0,0,3,0,8.480036667,0.877806778,1.0359185,1.0353365,0,0,4,0,3,0,0,3,0,0,0,0,3,0,3,0,0,3,3,0,0,0,0,0
0,10.0.2.15,104.16.54.21,443,tcp,8748.788528,3,351167.6667,135899.7778,320.3333333,122.7222222,46.009164,30.42738967,0.524554,0.52404,991.3333333,25.27777778,91,32.5,3,0,3,3,0,0,0,2,3,0,3,0,3,1,3,0,0,2,0,0
0,10.0.2.15,31.13.73.36,443,tcp,3541.195006,4,130856.5,95264.70833,135,92.16666667,224.1621298,140.4576549,3042.877679,4184.3498,3902.25,2444.229167,61.5,38.08333333,4,0,4,4,0,0,0,2,4,0,4,0,4,2,4,0,0,1,0,0
0,10.0.2.15,72.21.206.141,443,tcp,13172.09197,1,15309,0,34,0,99.090983,0,0,0,3407,0,24,0,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0
0,10.0.2.15,151.101.113.63,443,tcp,4494.016289,14,143119.6429,153934.2818,173.3571429,179.3476414,40.9806035,41.8313303,259.2955152,898.2206533,1374.142857,817.2381244,80.64285714,82.84617565,14,0,14,14,0,0,0,14,14,0,14,0,14,8,14,0,0,8,0,0
0,10.0.2.15,54.192.93.94,443,tcp,6612.575612,6,201926.5,89370.05,200.5,80.9,22.4439495,3.375027942,0.0008178,0.000426675,1068.5,186.2166667,75.5,24.23611111,6,0,6,6,0,0,0,0,6,0,6,0,6,6,6,0,0,0,0,1
0,10.0.2.15,104.16.25.235,443,tcp,10612.64507,4,4148.75,157.3958333,15.75,2.8125,71.82233725,40.3335029,1193.252416,860.9534973,1183.75,371.1041667,14.25,2.229166667,4,0,4,4,0,0,0,0,4,0,4,0,4,4,4,0,0,0,0,0
0,10.0.2.15,151.101.12.207,443,tcp,660.74574,6,2558.5,2276.366667,12.16666667,3.880555556,31.24137483,20.65107902,185.2972116,202.566459,630,118.6888889,11,2.961111111,6,0,6,6,0,0,0,6,6,0,6,0,6,2,6,0,0,2,0,0
0,10.0.2.15,52.21.70.46,80,tcp,1635.91645,5,831.6,453.1466667,13.8,5.773333333,96.366928,45.1629905,2925.354359,3069.307486,350.4,190.2033333,14.4,5.336666667,5,0,3,5,0,0,0,0,5,0,5,0,3,5,5,0,0,0,0,0
0,10.0.2.15,166.78.82.111,80,tcp,12703.23581,4,19733.25,14419.9375,32,17.58333333,97.770093,33.30136129,3.385622333,3.460004715,698,426.6666667,20.5,8.708333333,4,0,3,4,0,0,0,0,4,0,4,0,3,4,4,0,0,0,0,0
0,10.0.2.15,95.172.94.20,80,tcp,9025.917165,3,1086,181,18,4.5,98.581434,38.09879567,25.198365,25.19708,3096.333333,514.8888889,18,4.5,3,0,3,3,0,0,0,0,3,0,3,0,3,3,3,0,0,0,0,0
0,10.0.2.15,52.216.226.235,80,tcp,9564.592273,1,39131,0,48,0,120.841248,0,0,0,349,0,25,0,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0
0,10.0.2.15,52.94.216.48,80,tcp,1438.112054,15,344.3333333,254.56368,15.93333333,9.756418951,116.0123784,76.05582928,746.1495232,817.6801059,537.3333333,401.8208488,16.6,9.288204018,13,0,9,13,0,0,0,0,15,0,13,0,9,13,13,0,0,0,0,0
